Nombre empleado,Sueldo Base,Descuento Salud,Descuento AFP,Sueldo Líquido
Juan Pérez,1564253,109497.71,187710.36,1267044.9300000002
María García,2095080,146655.6,251409.59999999998,1697014.7999999998
Carlos López,906415,63449.05,108769.8,734196.1499999999
Ana Martínez,1324672,92727.04000000001,158960.63999999998,1072984.32
Pedro Rodríguez,1972715,138090.05000000002,236725.8,1597899.15
Laura Hernández,479071,33534.97,57488.52,388047.51
Miguel Sánchez,345388,24177.160000000003,41446.56,279764.27999999997
Isabel Gómez,2117346,148214.22,254081.52,1715050.26
Francisco Díaz,414433,29010.31,49731.96,335690.73
Elena Fernández,2282787,159795.09000000003,273934.44,1849057.4700000002
